,CODIGO_PROYECTO,TIPO_CUENTA,FECHA,AÑO,MES,CREDITO,DEBITO,TOTAL,NOMBRE_OBRA,NOMBRE_CLIENTE,TOTAL_2,MARGEN
611,P-1663,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
612,P-1663,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
613,P-1663,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
614,P-1663,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
615,P-1663,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
616,P-1663,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
617,P-1663,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
618,P-1663,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
619,P-1663,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
620,P-1663,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
621,P-1663,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
622,P-1663,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
623,P-1663,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
624,P-1663,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
625,P-1663,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
626,P-1663,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
627,P-1663,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
628,P-1663,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
629,P-1663,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
630,P-1663,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,5429,0,5429,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,5429,0.0
631,P-1664,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
632,P-1664,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
633,P-1664,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
634,P-1664,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
635,P-1664,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
636,P-1664,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
637,P-1664,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
638,P-1664,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
639,P-1664,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
640,P-1664,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
641,P-1664,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
642,P-1664,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
643,P-1664,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
644,P-1664,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
645,P-1664,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
646,P-1664,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
647,P-1664,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
648,P-1664,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
649,P-1664,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
650,P-1664,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
651,P-1664,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
652,P-1664,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
653,P-1664,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,100955,18000,82955,MK II PCI,COMERCIAL K SPA.,82955,0.0
654,P-1664,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,124715,0,124715,MK II PCI,COMERCIAL K SPA.,124715,0.0
655,P-1664,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
656,P-1664,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,MK II PCI,COMERCIAL K SPA.,0,0.0
657,P-1666,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
658,P-1666,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
659,P-1666,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
660,P-1666,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
661,P-1666,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
662,P-1666,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
663,P-1666,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
664,P-1666,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
665,P-1666,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
666,P-1666,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
667,P-1666,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
668,P-1666,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
669,P-1666,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
670,P-1666,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
671,P-1666,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
672,P-1666,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
673,P-1666,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
674,P-1666,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
675,P-1666,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
676,P-1666,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
677,P-1666,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
678,P-1666,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
679,P-1666,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
680,P-1666,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,89550,-89550,CD AXIONLONG,EBCO S.A.,89550,0.0
681,P-1666,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,CD AXIONLONG,EBCO S.A.,0,0.0
682,P-1667,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
683,P-1667,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
684,P-1667,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
685,P-1667,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
686,P-1667,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
687,P-1667,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
688,P-1667,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
689,P-1667,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
690,P-1667,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
691,P-1667,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
692,P-1667,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
693,P-1667,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
694,P-1667,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
695,P-1667,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
696,P-1667,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
697,P-1667,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
698,P-1667,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
699,P-1667,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
700,P-1667,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
701,P-1667,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
702,P-1667,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
703,P-1667,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
704,P-1667,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
705,P-1667,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,2017162,-2017162,ECO PLACILLA,CONSTRUCTORA ICF SPA,2017162,0.0
706,P-1667,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,2792369,-2792369,ECO PLACILLA,CONSTRUCTORA ICF SPA,2792369,0.0
707,P-1667,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,967228,-967228,ECO PLACILLA,CONSTRUCTORA ICF SPA,967228,0.0
708,P-1667,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,1950257,-1950257,ECO PLACILLA,CONSTRUCTORA ICF SPA,1950257,0.0
709,P-1667,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,24600,436660,-412060,ECO PLACILLA,CONSTRUCTORA ICF SPA,412060,0.0
710,P-1667,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,90852,-90852,ECO PLACILLA,CONSTRUCTORA ICF SPA,90852,0.0
711,P-1667,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,0,0.0
712,P-1668,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
713,P-1668,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
714,P-1668,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
715,P-1668,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
716,P-1668,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
717,P-1668,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
718,P-1668,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
719,P-1668,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
720,P-1668,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
721,P-1668,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
722,P-1668,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
723,P-1668,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
724,P-1668,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
725,P-1668,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
726,P-1668,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
727,P-1668,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
728,P-1668,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
729,P-1668,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
730,P-1668,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
731,P-1668,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
732,P-1668,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
733,P-1668,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
734,P-1668,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
735,P-1668,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,0,0.0
736,P-1668,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,78500,0,78500,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,78500,0.0
737,P-1668,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,68000,0,68000,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,68000,0.0
738,P-1669,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
739,P-1669,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
740,P-1669,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
741,P-1669,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
742,P-1669,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
743,P-1669,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
744,P-1669,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
745,P-1669,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
746,P-1669,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
747,P-1669,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
748,P-1669,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
749,P-1669,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
750,P-1669,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
751,P-1669,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
752,P-1669,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
753,P-1669,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
754,P-1669,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
755,P-1669,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
756,P-1669,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,1464882,0,1464882,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,1464882,0.0
757,P-1669,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
758,P-1669,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
759,P-1669,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
760,P-1669,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
761,P-1669,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
762,P-1669,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,156861,-156861,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,156861,0.0
763,P-1669,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,280707,-280707,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,280707,0.0
764,P-1669,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,245707,0,245707,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,245707,0.0
765,P-1669,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,5420,-5420,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,5420,0.0
766,P-1669,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,245707,0,245707,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,245707,0.0
767,P-1669,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
768,P-1670,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
769,P-1670,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
770,P-1670,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
771,P-1670,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
772,P-1670,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
773,P-1670,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
774,P-1670,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
775,P-1670,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
776,P-1670,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
777,P-1670,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
778,P-1670,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
779,P-1670,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
780,P-1670,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
781,P-1670,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
782,P-1670,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
783,P-1670,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
784,P-1670,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,6945,0,6945,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,6945,0.0
785,P-1670,1. INGRESO,2023-04-01,2023.0,4.0,5252982,5252982,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
