,Cta_Contable,Año,Mes,Fecha,Tipo_Comp,Num_Comp,Glosa,Primer_Analisis,Referencia,Num_Referencia,Debito,Credito,Comentario 
6843,4150002-001,2021,3,3/31/21 0:00,CRE,1282,MUT-100,,12291050,,18340,0,
6844,4150002-001,2021,3,3/31/21 0:00,CRE,1282,MUT-100,,14428523,,15237,0,
6845,4150002-001,2021,3,3/31/21 0:00,CRE,1282,MUT-100,,25924461,,23162,0,
6846,4150002-001,2021,3,3/31/21 0:00,CRE,1282,MUT-100,,26771805,,9402,0,
6847,4150002-001,2021,3,3/31/21 0:00,CRE,1283,SEE-100,,10154587,,58936,0,
6848,4150002-001,2021,3,3/31/21 0:00,CRE,1283,SEE-100,,10349443,,42829,0,
6849,4150002-001,2021,3,3/31/21 0:00,CRE,1283,SEE-100,,12291050,,27339,0,
6850,4150002-001,2021,3,3/31/21 0:00,CRE,1283,SEE-100,,14428523,,22713,0,
6851,4150002-001,2021,3,3/31/21 0:00,CRE,1283,SEE-100,,25924461,,34527,0,
6852,4150002-001,2021,3,3/31/21 0:00,CRE,1283,SEE-100,,26771805,,14016,0,
6853,4150002-001,2021,3,3/31/21 0:00,CRE,1284,SIS-100,,10154587,,55168,0,
6854,4150002-001,2021,3,3/31/21 0:00,CRE,1284,SIS-100,,10349443,,41044,0,
6855,4150002-001,2021,3,3/31/21 0:00,CRE,1284,SIS-100,,12291050,,26200,0,
6856,4150002-001,2021,3,3/31/21 0:00,CRE,1284,SIS-100,,14428523,,21767,0,
6857,4150002-001,2021,3,3/31/21 0:00,CRE,1284,SIS-100,,25924461,,33088,0,
6858,4150002-001,2021,3,3/31/21 0:00,CRE,1284,SIS-100,,26771805,,13432,0,
6859,4150002-001,2021,4,4/30/21 0:00,CRE,1090,SBA-100,,25924461,1,1117054,0,
6860,4150002-001,2021,4,4/30/21 0:00,CRE,1090,SBA-100,,26771805,1,363958,0,
6861,4150002-001,2021,4,4/30/21 0:00,CRE,1090,SBA-100,,10154587,1,2326408,0,
6862,4150002-001,2021,4,4/30/21 0:00,CRE,1090,SBA-100,,12291050,1,881204,0,
6863,4150002-001,2021,4,4/30/21 0:00,CRE,1090,SBA-100,,10349443,1,1451054,0,
6864,4150002-001,2021,4,4/30/21 0:00,CRE,1090,SBA-100,,14428523,1,528484,0,
6865,4150002-001,2021,4,4/30/21 0:00,CRE,1090,COL-100,,14428523,2,25200,0,
6866,4150002-001,2021,4,4/30/21 0:00,CRE,1090,COL-100,,10349443,2,25200,0,
6867,4150002-001,2021,4,4/30/21 0:00,CRE,1090,COL-100,,12291050,2,25200,0,
6868,4150002-001,2021,4,4/30/21 0:00,CRE,1090,COL-100,,10154587,2,25200,0,
6869,4150002-001,2021,4,4/30/21 0:00,CRE,1090,COL-100,,26771805,2,25200,0,
6870,4150002-001,2021,4,4/30/21 0:00,CRE,1090,COL-100,,25924461,2,25200,0,
6871,4150002-001,2021,4,4/30/21 0:00,CRE,1090,GRA-100,,25924461,3,129240,0,
6872,4150002-001,2021,4,4/30/21 0:00,CRE,1090,GRA-100,,26771805,3,114549,0,
6873,4150002-001,2021,4,4/30/21 0:00,CRE,1090,GRA-100,,10154587,3,129240,0,
6874,4150002-001,2021,4,4/30/21 0:00,CRE,1090,GRA-100,,12291050,3,129240,0,
6875,4150002-001,2021,4,4/30/21 0:00,CRE,1090,GRA-100,,10349443,3,129240,0,
6876,4150002-001,2021,4,4/30/21 0:00,CRE,1090,GRA-100,,14428523,3,129240,0,
6877,4150002-001,2021,4,4/30/21 0:00,CRE,1090,MOV-100,,14428523,4,25200,0,
6878,4150002-001,2021,4,4/30/21 0:00,CRE,1090,MOV-100,,10349443,4,25200,0,
6879,4150002-001,2021,4,4/30/21 0:00,CRE,1090,MOV-100,,12291050,4,25200,0,
6880,4150002-001,2021,4,4/30/21 0:00,CRE,1090,MOV-100,,10154587,4,25200,0,
6881,4150002-001,2021,4,4/30/21 0:00,CRE,1090,MOV-100,,26771805,4,25200,0,
6882,4150002-001,2021,4,4/30/21 0:00,CRE,1090,MOV-100,,25924461,4,25200,0,
6883,4150002-001,2021,4,4/30/21 0:00,CRE,1090,BOO-100,,25924461,5,192332,0,
6884,4150002-001,2021,4,4/30/21 0:00,CRE,1090,BRP-100,,26771805,5,49238,0,
6885,4150002-001,2021,4,4/30/21 0:00,CRE,1090,BRP-100,,12291050,5,128665,0,
6886,4150002-001,2021,4,4/30/21 0:00,CRE,1090,BOO-100,,10349443,5,204240,0,
6887,4150002-001,2021,4,4/30/21 0:00,CRE,1090,BRP-100,,14428523,5,36370,0,
6888,4150002-001,2021,4,4/30/21 0:00,CRE,1090,COM-100,,14428523,6,358836,0,
6889,4150002-001,2021,4,4/30/21 0:00,CRE,1090,bon-100,,26771805,6,45000,0,
6890,4150002-001,2021,4,4/30/21 0:00,CRE,1097,MUT-100,,10154587,,38748,0,
6891,4150002-001,2021,4,4/30/21 0:00,CRE,1097,MUT-100,,10349443,,28731,0,
6892,4150002-001,2021,4,4/30/21 0:00,CRE,1097,MUT-100,,12291050,,18340,0,
6893,4150002-001,2021,4,4/30/21 0:00,CRE,1097,MUT-100,,14428523,,18108,0,
6894,4150002-001,2021,4,4/30/21 0:00,CRE,1097,MUT-100,,25924461,,23162,0,
6895,4150002-001,2021,4,4/30/21 0:00,CRE,1097,MUT-100,,26771805,,9221,0,
6896,4150002-001,2021,4,4/30/21 0:00,CRE,1098,SEE-100,,10154587,,58936,0,
6897,4150002-001,2021,4,4/30/21 0:00,CRE,1098,SEE-100,,10349443,,42829,0,
6898,4150002-001,2021,4,4/30/21 0:00,CRE,1098,SEE-100,,12291050,,27339,0,
6899,4150002-001,2021,4,4/30/21 0:00,CRE,1098,SEE-100,,14428523,,26993,0,
6900,4150002-001,2021,4,4/30/21 0:00,CRE,1098,SEE-100,,25924461,,34527,0,
6901,4150002-001,2021,4,4/30/21 0:00,CRE,1098,SEE-100,,26771805,,13746,0,
6902,4150002-001,2021,4,4/30/21 0:00,CRE,1099,SIS-100,,10154587,,46690,0,
6903,4150002-001,2021,4,4/30/21 0:00,CRE,1099,SIS-100,,10349443,,34620,0,
6904,4150002-001,2021,4,4/30/21 0:00,CRE,1099,SIS-100,,12291050,,22099,0,
6905,4150002-001,2021,4,4/30/21 0:00,CRE,1099,SIS-100,,14428523,,21819,0,
6906,4150002-001,2021,4,4/30/21 0:00,CRE,1099,SIS-100,,25924461,,27909,0,
6907,4150002-001,2021,4,4/30/21 0:00,CRE,1099,SIS-100,,26771805,,11111,0,
6908,4150002-001,2021,5,5/31/21 0:00,CRE,971,SBA-100,,25924461,1,1117054,0,
6909,4150002-001,2021,5,5/31/21 0:00,CRE,971,SBA-100,,10154587,1,2326408,0,
6910,4150002-001,2021,5,5/31/21 0:00,CRE,971,SBA-100,,10349443,1,1451054,0,
6911,4150002-001,2021,5,5/31/21 0:00,CRE,971,SBA-100,,14428523,1,528484,0,
6912,4150002-001,2021,5,5/31/21 0:00,CRE,971,SBA-100,,26771805,1,363958,0,
6913,4150002-001,2021,5,5/31/21 0:00,CRE,971,SBA-100,,12291050,1,881204,0,
6914,4150002-001,2021,5,5/31/21 0:00,CRE,971,COL-100,,12291050,2,25200,0,
6915,4150002-001,2021,5,5/31/21 0:00,CRE,971,COL-100,,26771805,2,25200,0,
6916,4150002-001,2021,5,5/31/21 0:00,CRE,971,COL-100,,14428523,2,25200,0,
6917,4150002-001,2021,5,5/31/21 0:00,CRE,971,COL-100,,10349443,2,25200,0,
6918,4150002-001,2021,5,5/31/21 0:00,CRE,971,COL-100,,10154587,2,25200,0,
6919,4150002-001,2021,5,5/31/21 0:00,CRE,971,COL-100,,25924461,2,25200,0,
6920,4150002-001,2021,5,5/31/21 0:00,CRE,971,GRA-100,,25924461,3,129240,0,
6921,4150002-001,2021,5,5/31/21 0:00,CRE,971,GRA-100,,10154587,3,129240,0,
6922,4150002-001,2021,5,5/31/21 0:00,CRE,971,GRA-100,,10349443,3,129240,0,
6923,4150002-001,2021,5,5/31/21 0:00,CRE,971,GRA-100,,14428523,3,129240,0,
6924,4150002-001,2021,5,5/31/21 0:00,CRE,971,GRA-100,,26771805,3,117362,0,
6925,4150002-001,2021,5,5/31/21 0:00,CRE,971,GRA-100,,12291050,3,129240,0,
6926,4150002-001,2021,5,5/31/21 0:00,CRE,971,MOV-100,,12291050,4,25200,0,
6927,4150002-001,2021,5,5/31/21 0:00,CRE,971,MOV-100,,26771805,4,25200,0,
6928,4150002-001,2021,5,5/31/21 0:00,CRE,971,MOV-100,,14428523,4,25200,0,
6929,4150002-001,2021,5,5/31/21 0:00,CRE,971,MOV-100,,10349443,4,25200,0,
6930,4150002-001,2021,5,5/31/21 0:00,CRE,971,MOV-100,,10154587,4,25200,0,
6931,4150002-001,2021,5,5/31/21 0:00,CRE,971,MOV-100,,25924461,4,25200,0,
6932,4150002-001,2021,5,5/31/21 0:00,CRE,971,BOO-100,,25924461,5,192332,0,
6933,4150002-001,2021,5,5/31/21 0:00,CRE,971,BOO-100,,10349443,5,204240,0,
6934,4150002-001,2021,5,5/31/21 0:00,CRE,971,BRP-100,,14428523,5,36370,0,
6935,4150002-001,2021,5,5/31/21 0:00,CRE,971,BRP-100,,26771805,5,49238,0,
6936,4150002-001,2021,5,5/31/21 0:00,CRE,971,BRP-100,,12291050,5,128665,0,
6937,4150002-001,2021,5,5/31/21 0:00,CRE,971,bon-100,,26771805,6,56250,0,
6938,4150002-001,2021,5,5/31/21 0:00,CRE,971,com-100,,14428523,6,196098,0,
6939,4150002-001,2021,5,5/31/21 0:00,CRE,978,MUT-100,,10154587,,38905,0,
6940,4150002-001,2021,5,5/31/21 0:00,CRE,978,MUT-100,,10349443,,28731,0,
6941,4150002-001,2021,5,5/31/21 0:00,CRE,978,MUT-100,,12291050,,18340,0,
6942,4150002-001,2021,5,5/31/21 0:00,CRE,978,MUT-100,,14428523,,15090,0,
6943,4150002-001,2021,5,5/31/21 0:00,CRE,978,MUT-100,,25924461,,23162,0,
6944,4150002-001,2021,5,5/31/21 0:00,CRE,978,MUT-100,,26771805,,9448,0,
6945,4150002-001,2021,5,5/31/21 0:00,CRE,979,SEE-100,,10154587,,58936,0,
6946,4150002-001,2021,5,5/31/21 0:00,CRE,979,SEE-100,,10349443,,42829,0,
6947,4150002-001,2021,5,5/31/21 0:00,CRE,979,SEE-100,,12291050,,27339,0,
6948,4150002-001,2021,5,5/31/21 0:00,CRE,979,SEE-100,,14428523,,22494,0,
6949,4150002-001,2021,5,5/31/21 0:00,CRE,979,SEE-100,,25924461,,34527,0,
6950,4150002-001,2021,5,5/31/21 0:00,CRE,979,SEE-100,,26771805,,14083,0,
6951,4150002-001,2021,5,5/31/21 0:00,CRE,980,SIS-100,,10154587,,46879,0,
6952,4150002-001,2021,5,5/31/21 0:00,CRE,980,SIS-100,,10349443,,34620,0,
6953,4150002-001,2021,5,5/31/21 0:00,CRE,980,SIS-100,,12291050,,22099,0,
6954,4150002-001,2021,5,5/31/21 0:00,CRE,980,SIS-100,,14428523,,18183,0,
6955,4150002-001,2021,5,5/31/21 0:00,CRE,980,SIS-100,,25924461,,27909,0,
6956,4150002-001,2021,5,5/31/21 0:00,CRE,980,SIS-100,,26771805,,11384,0,
6957,4150002-001,2021,6,6/29/21 0:00,CRE,763,SBA-100,,10154587,1,2326408,0,
6958,4150002-001,2021,6,6/29/21 0:00,CRE,763,SBA-100,,25924461,1,1117054,0,
6959,4150002-001,2021,6,6/29/21 0:00,CRE,763,SBA-100,,14428523,1,528484,0,
6960,4150002-001,2021,6,6/29/21 0:00,CRE,763,SBA-100,,26771805,1,363958,0,
6961,4150002-001,2021,6,6/29/21 0:00,CRE,763,SBA-100,,12291050,1,881204,0,
6962,4150002-001,2021,6,6/29/21 0:00,CRE,763,SBA-100,,10349443,1,1451054,0,
6963,4150002-001,2021,6,6/29/21 0:00,CRE,763,COL-100,,10349443,2,25200,0,
6964,4150002-001,2021,6,6/29/21 0:00,CRE,763,COL-100,,12291050,2,25200,0,
6965,4150002-001,2021,6,6/29/21 0:00,CRE,763,COL-100,,26771805,2,25200,0,
6966,4150002-001,2021,6,6/29/21 0:00,CRE,763,COL-100,,14428523,2,25200,0,
6967,4150002-001,2021,6,6/29/21 0:00,CRE,763,COL-100,,25924461,2,25200,0,
6968,4150002-001,2021,6,6/29/21 0:00,CRE,763,COL-100,,10154587,2,25200,0,
6969,4150002-001,2021,6,6/29/21 0:00,CRE,763,GRA-100,,10154587,3,129240,0,
6970,4150002-001,2021,6,6/29/21 0:00,CRE,763,GRA-100,,25924461,3,129240,0,
6971,4150002-001,2021,6,6/29/21 0:00,CRE,763,GRA-100,,14428523,3,129240,0,
6972,4150002-001,2021,6,6/29/21 0:00,CRE,763,GRA-100,,26771805,3,117362,0,
6973,4150002-001,2021,6,6/29/21 0:00,CRE,763,GRA-100,,12291050,3,129240,0,
6974,4150002-001,2021,6,6/29/21 0:00,CRE,763,GRA-100,,10349443,3,129240,0,
6975,4150002-001,2021,6,6/29/21 0:00,CRE,763,MOV-100,,10349443,4,25200,0,
6976,4150002-001,2021,6,6/29/21 0:00,CRE,763,MOV-100,,12291050,4,25200,0,
6977,4150002-001,2021,6,6/29/21 0:00,CRE,763,MOV-100,,26771805,4,25200,0,
6978,4150002-001,2021,6,6/29/21 0:00,CRE,763,MOV-100,,14428523,4,25200,0,
6979,4150002-001,2021,6,6/29/21 0:00,CRE,763,MOV-100,,25924461,4,25200,0,
6980,4150002-001,2021,6,6/29/21 0:00,CRE,763,MOV-100,,10154587,4,25200,0,
6981,4150002-001,2021,6,6/29/21 0:00,CRE,763,BOO-100,,25924461,5,192332,0,
6982,4150002-001,2021,6,6/29/21 0:00,CRE,763,BRP-100,,14428523,5,36370,0,
6983,4150002-001,2021,6,6/29/21 0:00,CRE,763,BRP-100,,26771805,5,49238,0,
6984,4150002-001,2021,6,6/29/21 0:00,CRE,763,BRP-100,,12291050,5,128665,0,
6985,4150002-001,2021,6,6/29/21 0:00,CRE,763,BOO-100,,10349443,5,204240,0,
6986,4150002-001,2021,6,6/29/21 0:00,CRE,763,BON-100,,26771805,6,56250,0,
6987,4150002-001,2021,6,6/29/21 0:00,CRE,763,COM-100,,14428523,6,217454,0,
6988,4150002-001,2021,6,6/29/21 0:00,CRE,763,bon-100,,14428523,7,100000,0,
6989,4150002-001,2021,6,6/30/21 0:00,CRE,810,MUT-100,,10154587,,39032,0,
6990,4150002-001,2021,6,6/30/21 0:00,CRE,810,MUT-100,,10349443,,28731,0,
6991,4150002-001,2021,6,6/30/21 0:00,CRE,810,MUT-100,,12291050,,18340,0,
6992,4150002-001,2021,6,6/30/21 0:00,CRE,810,MUT-100,,14428523,,17161,0,
6993,4150002-001,2021,6,6/30/21 0:00,CRE,810,MUT-100,,25924461,,23162,0,
6994,4150002-001,2021,6,6/30/21 0:00,CRE,810,MUT-100,,26771805,,9448,0,
6995,4150002-001,2021,6,6/30/21 0:00,CRE,811,SEE-100,,10154587,,58936,0,
6996,4150002-001,2021,6,6/30/21 0:00,CRE,811,SEE-100,,10349443,,42829,0,
6997,4150002-001,2021,6,6/30/21 0:00,CRE,811,SEE-100,,12291050,,27339,0,
6998,4150002-001,2021,6,6/30/21 0:00,CRE,811,SEE-100,,14428523,,25582,0,
6999,4150002-001,2021,6,6/30/21 0:00,CRE,811,SEE-100,,25924461,,34527,0,
7000,4150002-001,2021,6,6/30/21 0:00,CRE,811,SEE-100,,26771805,,14083,0,
7001,4150002-001,2021,6,6/30/21 0:00,CRE,812,SIS-100,,10154587,,47032,0,
7002,4150002-001,2021,6,6/30/21 0:00,CRE,812,SIS-100,,10349443,,34620,0,
7003,4150002-001,2021,6,6/30/21 0:00,CRE,812,SIS-100,,12291050,,22099,0,
7004,4150002-001,2021,6,6/30/21 0:00,CRE,812,SIS-100,,14428523,,20679,0,
7005,4150002-001,2021,6,6/30/21 0:00,CRE,812,SIS-100,,25924461,,27909,0,
7006,4150002-001,2021,6,6/30/21 0:00,CRE,812,SIS-100,,26771805,,11384,0,
7007,4150002-001,2021,7,7/31/21 0:00,CRE,965,SBA-100,,14428523,1,528484,0,
7008,4150002-001,2021,7,7/31/21 0:00,CRE,965,SBA-100,,26771805,1,363958,0,
7009,4150002-001,2021,7,7/31/21 0:00,CRE,965,SBA-100,,12291050,1,881204,0,
7010,4150002-001,2021,7,7/31/21 0:00,CRE,965,SBA-100,,10349443,1,1305949,0,
7011,4150002-001,2021,7,7/31/21 0:00,CRE,965,SBA-100,,25924461,1,1117054,0,
7012,4150002-001,2021,7,7/31/21 0:00,CRE,965,SBA-100,,10154587,1,2326408,0,
7013,4150002-001,2021,7,7/31/21 0:00,CRE,965,COL-100,,10154587,2,25200,0,
7014,4150002-001,2021,7,7/31/21 0:00,CRE,965,COL-100,,25924461,2,25200,0,
7015,4150002-001,2021,7,7/31/21 0:00,CRE,965,COL-100,,10349443,2,22680,0,
7016,4150002-001,2021,7,7/31/21 0:00,CRE,965,COL-100,,12291050,2,25200,0,
7017,4150002-001,2021,7,7/31/21 0:00,CRE,965,COL-100,,26771805,2,25200,0,
7018,4150002-001,2021,7,7/31/21 0:00,CRE,965,COL-100,,14428523,2,25200,0,
7019,4150002-001,2021,7,7/31/21 0:00,CRE,965,GRA-100,,14428523,3,133396,0,
7020,4150002-001,2021,7,7/31/21 0:00,CRE,965,GRA-100,,26771805,3,117362,0,
7021,4150002-001,2021,7,7/31/21 0:00,CRE,965,GRA-100,,12291050,3,133396,0,
7022,4150002-001,2021,7,7/31/21 0:00,CRE,965,GRA-100,,10349443,3,133396,0,
7023,4150002-001,2021,7,7/31/21 0:00,CRE,965,GRA-100,,25924461,3,133396,0,
7024,4150002-001,2021,7,7/31/21 0:00,CRE,965,GRA-100,,10154587,3,133396,0,
7025,4150002-001,2021,7,7/31/21 0:00,CRE,965,MOV-100,,10154587,4,25200,0,
7026,4150002-001,2021,7,7/31/21 0:00,CRE,965,MOV-100,,25924461,4,25200,0,
7027,4150002-001,2021,7,7/31/21 0:00,CRE,965,MOV-100,,10349443,4,22680,0,
7028,4150002-001,2021,7,7/31/21 0:00,CRE,965,MOV-100,,12291050,4,25200,0,
7029,4150002-001,2021,7,7/31/21 0:00,CRE,965,MOV-100,,26771805,4,25200,0,
7030,4150002-001,2021,7,7/31/21 0:00,CRE,965,MOV-100,,14428523,4,25200,0,
7031,4150002-001,2021,7,7/31/21 0:00,CRE,965,BRP-100,,26771805,5,49238,0,
7032,4150002-001,2021,7,7/31/21 0:00,CRE,965,BRP-100,,12291050,5,128665,0,
7033,4150002-001,2021,7,7/31/21 0:00,CRE,965,BOO-100,,10349443,5,204240,0,
7034,4150002-001,2021,7,7/31/21 0:00,CRE,965,BOO-100,,25924461,5,192332,0,
7035,4150002-001,2021,7,7/31/21 0:00,CRE,965,DGI-100,,10154587,5,8312,0,
7036,4150002-001,2021,7,7/31/21 0:00,CRE,965,DGI-100,,25924461,6,8312,0,
7037,4150002-001,2021,7,7/31/21 0:00,CRE,965,DGI-100,,10349443,6,8312,0,
7038,4150002-001,2021,7,7/31/21 0:00,CRE,965,DGI-100,,12291050,6,8312,0,
7039,4150002-001,2021,7,7/31/21 0:00,CRE,965,BON-100,,26771805,6,56250,0,
7040,4150002-001,2021,7,7/31/21 0:00,CRE,965,BRP-100,,14428523,6,36370,0,
7041,4150002-001,2021,7,7/31/21 0:00,CRE,965,com-100,,14428523,7,151591,0,
7042,4150002-001,2021,7,7/31/21 0:00,CRE,965,DGI-100,,14428523,8,8312,0,
7043,4150002-001,2021,7,7/31/21 0:00,CRE,972,MUT-100,,10154587,,39094,0,
7044,4150002-001,2021,7,7/31/21 0:00,CRE,972,MUT-100,,10349443,,26649,0,
7045,4150002-001,2021,7,7/31/21 0:00,CRE,972,MUT-100,,12291050,,18540,0,
7046,4150002-001,2021,7,7/31/21 0:00,CRE,972,MUT-100,,14428523,,14311,0,
7047,4150002-001,2021,7,7/31/21 0:00,CRE,972,MUT-100,,25924461,,23363,0,
7048,4150002-001,2021,7,7/31/21 0:00,CRE,972,MUT-100,,26771805,,9448,0,
7049,4150002-001,2021,7,7/31/21 0:00,CRE,973,SEE-100,,10154587,,59235,0,
7050,4150002-001,2021,7,7/31/21 0:00,CRE,973,SEE-100,,10349443,,43928,0,
7051,4150002-001,2021,7,7/31/21 0:00,CRE,973,SEE-100,,12291050,,27638,0,
7052,4150002-001,2021,7,7/31/21 0:00,CRE,973,SEE-100,,14428523,,21334,0,
7053,4150002-001,2021,7,7/31/21 0:00,CRE,973,SEE-100,,25924461,,34826,0,
7054,4150002-001,2021,7,7/31/21 0:00,CRE,973,SEE-100,,26771805,,14083,0,
7055,4150002-001,2021,7,7/31/21 0:00,CRE,974,SIS-100,,10154587,,53664,0,
7056,4150002-001,2021,7,7/31/21 0:00,CRE,974,SIS-100,,10349443,,40451,0,
7057,4150002-001,2021,7,7/31/21 0:00,CRE,974,SIS-100,,12291050,,25450,0,
7058,4150002-001,2021,7,7/31/21 0:00,CRE,974,SIS-100,,14428523,,19645,0,
7059,4150002-001,2021,7,7/31/21 0:00,CRE,974,SIS-100,,25924461,,32069,0,
7060,4150002-001,2021,7,7/31/21 0:00,CRE,974,SIS-100,,26771805,,12968,0,
7061,4150002-001,2021,8,8/31/21 0:00,CRE,727,SBA-100,,14428523,1,528484,0,
7062,4150002-001,2021,8,8/31/21 0:00,CRE,727,SBA-100,,10349443,1,725527,0,
7063,4150002-001,2021,8,8/31/21 0:00,CRE,727,SBA-100,,25924461,1,1117054,0,
7064,4150002-001,2021,8,8/31/21 0:00,CRE,727,SBA-100,,10154587,1,2326408,0,
7065,4150002-001,2021,8,8/31/21 0:00,CRE,727,SBA-100,,26771805,1,363958,0,
7066,4150002-001,2021,8,8/31/21 0:00,CRE,727,SBA-100,,12291050,1,881204,0,
7067,4150002-001,2021,8,8/31/21 0:00,CRE,727,COL-100,,12291050,2,25200,0,
7068,4150002-001,2021,8,8/31/21 0:00,CRE,727,COL-100,,26771805,2,25200,0,
7069,4150002-001,2021,8,8/31/21 0:00,CRE,727,COL-100,,10154587,2,25200,0,
7070,4150002-001,2021,8,8/31/21 0:00,CRE,727,COL-100,,25924461,2,25200,0,
7071,4150002-001,2021,8,8/31/21 0:00,CRE,727,COL-100,,10349443,2,12600,0,
7072,4150002-001,2021,8,8/31/21 0:00,CRE,727,COL-100,,14428523,2,25200,0,
7073,4150002-001,2021,8,8/31/21 0:00,CRE,727,GRA-100,,14428523,3,133396,0,
7074,4150002-001,2021,8,8/31/21 0:00,CRE,727,GRA-100,,10349443,3,133396,0,
7075,4150002-001,2021,8,8/31/21 0:00,CRE,727,GRA-100,,25924461,3,133396,0,
7076,4150002-001,2021,8,8/31/21 0:00,CRE,727,GRA-100,,10154587,3,133396,0,
7077,4150002-001,2021,8,8/31/21 0:00,CRE,727,GRA-100,,26771805,3,116799,0,
7078,4150002-001,2021,8,8/31/21 0:00,CRE,727,GRA-100,,12291050,3,133396,0,
7079,4150002-001,2021,8,8/31/21 0:00,CRE,727,MOV-100,,12291050,4,25200,0,
7080,4150002-001,2021,8,8/31/21 0:00,CRE,727,MOV-100,,26771805,4,25200,0,
7081,4150002-001,2021,8,8/31/21 0:00,CRE,727,MOV-100,,10154587,4,25200,0,
7082,4150002-001,2021,8,8/31/21 0:00,CRE,727,MOV-100,,25924461,4,25200,0,
7083,4150002-001,2021,8,8/31/21 0:00,CRE,727,MOV-100,,10349443,4,12600,0,
7084,4150002-001,2021,8,8/31/21 0:00,CRE,727,MOV-100,,14428523,4,25200,0,
7085,4150002-001,2021,8,8/31/21 0:00,CRE,727,BOO-100,,10349443,5,204240,0,
7086,4150002-001,2021,8,8/31/21 0:00,CRE,727,BOO-100,,25924461,5,192332,0,
7087,4150002-001,2021,8,8/31/21 0:00,CRE,727,BRP-100,,26771805,5,49238,0,
7088,4150002-001,2021,8,8/31/21 0:00,CRE,727,BRP-100,,12291050,5,128665,0,
7089,4150002-001,2021,8,8/31/21 0:00,CRE,727,BRP-100,,14428523,6,36370,0,
7090,4150002-001,2021,8,8/31/21 0:00,CRE,727,com-100,,14428523,7,154042,0,
7091,4150002-001,2021,8,8/31/21 0:00,CRE,727,BON-100,,26771805,7,54000,0,
7092,4150002-001,2021,8,8/31/21 0:00,CRE,866,MUT-100,,10154587,,39328,0,
7093,4150002-001,2021,8,8/31/21 0:00,CRE,866,MUT-100,,10349443,,17150,0,
7094,4150002-001,2021,8,8/31/21 0:00,CRE,866,MUT-100,,12291050,,18407,0,
7095,4150002-001,2021,8,8/31/21 0:00,CRE,866,MUT-100,,14428523,,14199,0,
7096,4150002-001,2021,8,8/31/21 0:00,CRE,866,MUT-100,,25924461,,23229,0,
7097,4150002-001,2021,8,8/31/21 0:00,CRE,866,MUT-100,,26771805,,9402,0,
7098,4150002-001,2021,8,8/31/21 0:00,CRE,867,SEE-100,,10154587,,59035,0,
7099,4150002-001,2021,8,8/31/21 0:00,CRE,867,SEE-100,,10349443,,26944,0,
7100,4150002-001,2021,8,8/31/21 0:00,CRE,867,SEE-100,,12291050,,27438,0,
7101,4150002-001,2021,8,8/31/21 0:00,CRE,867,SEE-100,,14428523,,21166,0,
7102,4150002-001,2021,8,8/31/21 0:00,CRE,867,SEE-100,,25924461,,34627,0,
7103,4150002-001,2021,8,8/31/21 0:00,CRE,867,SEE-100,,26771805,,14016,0,
7104,4150002-001,2021,8,8/31/21 0:00,CRE,868,SIS-100,,10154587,,53984,0,
7105,4150002-001,2021,8,8/31/21 0:00,CRE,868,SIS-100,,10349443,,24810,0,
7106,4150002-001,2021,8,8/31/21 0:00,CRE,868,SIS-100,,12291050,,25266,0,
7107,4150002-001,2021,8,8/31/21 0:00,CRE,868,SIS-100,,14428523,,19490,0,
7108,4150002-001,2021,8,8/31/21 0:00,CRE,868,SIS-100,,25924461,,31885,0,
7109,4150002-001,2021,8,8/31/21 0:00,CRE,868,SIS-100,,26771805,,12906,0,
7110,4150002-001,2021,9,9/30/21 0:00,CRE,919,SBA-100,,10154587,1,2326408,0,
7111,4150002-001,2021,9,9/30/21 0:00,CRE,919,SBA-100,,26771805,1,363958,0,
7112,4150002-001,2021,9,9/30/21 0:00,CRE,919,SBA-100,,25924461,1,1117054,0,
7113,4150002-001,2021,9,9/30/21 0:00,CRE,919,SBA-100,,12291050,1,881204,0,
7114,4150002-001,2021,9,9/30/21 0:00,CRE,919,SBA-100,,14428523,1,493252,0,
7115,4150002-001,2021,9,9/30/21 0:00,CRE,919,COL-100,,14428523,2,23520,0,
7116,4150002-001,2021,9,9/30/21 0:00,CRE,919,COL-100,,12291050,2,25200,0,
7117,4150002-001,2021,9,9/30/21 0:00,CRE,919,COL-100,,25924461,2,25200,0,
7118,4150002-001,2021,9,9/30/21 0:00,CRE,919,COL-100,,26771805,2,25200,0,
7119,4150002-001,2021,9,9/30/21 0:00,CRE,919,COL-100,,10154587,2,25200,0,
7120,4150002-001,2021,9,9/30/21 0:00,CRE,919,GRA-100,,10154587,3,133396,0,
7121,4150002-001,2021,9,9/30/21 0:00,CRE,919,GRA-100,,26771805,3,117362,0,
7122,4150002-001,2021,9,9/30/21 0:00,CRE,919,GRA-100,,25924461,3,133396,0,
7123,4150002-001,2021,9,9/30/21 0:00,CRE,919,GRA-100,,12291050,3,133396,0,
7124,4150002-001,2021,9,9/30/21 0:00,CRE,919,GRA-100,,14428523,3,133396,0,
7125,4150002-001,2021,9,9/30/21 0:00,CRE,919,MOV-100,,25924461,4,25200,0,
7126,4150002-001,2021,9,9/30/21 0:00,CRE,919,MOV-100,,14428523,4,23520,0,
7127,4150002-001,2021,9,9/30/21 0:00,CRE,919,MOV-100,,12291050,4,25200,0,
